Site,Tunnel Name,Tunnel Type,VMS,MSC,CLV Setup,MSC firmware,Alternative name,MSC ETH IP,MSC Mask,MSC Gateway,MSC NTP,SSPC IP,SSPC Mask,SSPC Gateway,SSPC NTP
COLO,I2,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,Brown,10.64.140.232,255.255.255.0,10.64.140.1,10.64.128.1,10.64.131.147,255.255.254.0,10.64.130.1,10.64.128.1
COLO,I3,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,Green,10.64.140.233,255.255.255.0,10.64.140.1,10.64.128.1,10.64.131.148,255.255.254.0,10.64.130.1,10.64.128.1
COLO,I4,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,Blue,10.64.140.234,255.255.255.0,10.64.140.1,10.64.128.1,10.64.131.149,255.255.254.0,10.64.130.1,10.64.128.1
CRLS,I1,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,N/A,10.79.92.231,255.255.255.0,10.79.92.1,10.79.80.1,10.79.83.146,255.255.254.0,10.79.82.1,10.79.80.1
CRSN,I2,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,N/A,10.81.152.231,255.255.255.0,10.81.152.1,10.81.144.1,10.81.147.146,255.255.254.0,10.81.146.1,10.81.144.1
DALL,I4,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,A,10.69.216.231,255.255.255.0,10.69.216.1,10.69.208.1,10.69.211.146,255.255.254.0,10.69.210.1,10.69.208.1
DALL,I5,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,B,10.69.216.232,255.255.255.0,10.69.216.1,10.69.208.1,10.69.211.147,255.255.254.0,10.69.210.1,10.69.208.1
DALL,I6,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,B,10.69.216.233,255.255.255.0,10.69.216.1,10.69.208.1,10.69.211.148,255.255.254.0,10.69.210.1,10.69.208.1
DALL,I7,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,A,10.69.216.234,255.255.255.0,10.69.216.1,10.69.208.1,10.69.211.149,255.255.254.0,10.69.210.1,10.69.208.1
DALL,I8,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,C,10.69.216.235,255.255.255.0,10.69.216.1,10.69.208.1,10.69.211.150,255.255.254.0,10.69.210.1,10.69.208.1
DALL,I9,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,C,10.69.216.236,255.255.255.0,10.69.216.1,10.69.208.1,10.69.211.151,255.255.254.0,10.69.210.1,10.69.208.1
DENV,I4,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,N/A,10.65.44.231,255.255.255.0,10.65.44.1,10.65.32.1,10.65.35.146,255.255.254.0,10.65.34.1,10.65.32.1
DENV,I5,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,N/A,10.65.44.232,255.255.255.0,10.65.44.1,10.65.32.1,10.65.35.147,255.255.254.0,10.65.34.1,10.65.32.1
DETR,I1,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,N/A,10.86.244.231,255.255.255.0,10.86.244.1,10.86.240.1,10.86.243.146,255.255.254.0,10.86.242.1,10.86.240.1
ECOL,I1,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,5.2,T 1.41.17,N/A,10.82.8.231,255.255.255.0,10.82.8.1,10.82.0.1,10.82.3.146,255.255.254.0,10.82.2.1,10.82.0.1
EHRB,I1,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,,T 1.41.17,,10.83.136.231,255.255.254.0,10.83.136.1,10.83.136.1,10.83.131.146,255.255.254.0,10.83.130.1,10.83.131.1
ESFS,I1,UDS,,,,,,10.109.24.231,255.255.254.0,10.109.24.1,10.109.24.1,10.109.19.146,255.255.254.0,10.109.18.1,10.109.18.1
FRES,I1,UDS,V2.50,V 3.25.241       EPIC-2 UDS           V 3.2,,T 1.41.17,, 10.71.88.231,255.255.254.0,10.71.88.1,10.71.88.1,10.71.83.146,255.255.254.0,10.71.82.1,10.71.82.1
